AARIND,AARTIIND,AARTI INDUSTRIES LTD,INE769A01020
ABB,ABB INDIA LIMITED
TORPHA,TORRENT PHARMACEUTICALS LTD
TRENT,TRENT LTD
TVSMOT,TVS MOTOR COMPANY LIMITED
ULTCEM,ULTRATECH CEMENT LIMITED
UNIBR,UNITED BREWERIES LTD
UNIP,UPL LIMITED
UNISPI,UNITED SPIRITS LIMITED
VEDLIM,VEDANTA LIMITED
VOLTAS,VOLTAS LTD
WIPRO,WIPRO LTD
ZEEENT,ZEE ENTERTAINMENT ENTERPRISES
